#{"t_start": 1645478932.24288, "env_id": null}
r,l,t
-29440.097548,5000,172.012597
-23750.915123,5000,345.870682
-18913.0143,5000,776.1548
-13713.572498,5000,952.417404
-16057.988156,5000,1380.905522
-12394.927467,5000,1556.725218
-12159.350511,5000,1984.060178
-4173.857588,5000,2159.355522
-5309.867102,5000,2585.170903
-4310.909126,5000,2760.643468
-2961.20801,5000,3186.291557
-1035.075322,5000,3361.847932
-3085.778249,5000,3786.749106
-1179.124017,5000,3982.20034
-635.00085,5000,4408.708726
-632.651558,5000,4584.771521
-408.25385,5000,5009.524075
-386.803376,5000,5185.734331
-326.593292,5000,5609.535361
-306.145972,5000,5786.111516
-237.473397,5000,6210.848818
-182.805313,5000,6388.256558
-188.275825,5000,6813.196806
-190.433917,5000,6990.10661
-236.464293,5000,7412.377202
-199.526613,5000,7589.832235
-217.36437,5000,8011.635024
-167.638963,5000,8189.496836
-132.358245,5000,8617.346678
-162.021727,5000,8795.432915
-142.14386,5000,9219.862664
-152.463981,5000,9398.186976
-158.835839,5000,9817.513252
-167.356767,5000,9996.240087
-161.197241,5000,10420.731124
-149.716814,5000,10601.725564
-167.52017,5000,11027.331875
-160.674909,5000,11206.856817
-154.803815,5000,11636.342506
-163.097356,5000,11816.375176
-171.238879,5000,12235.629516
-162.089498,5000,12415.865849
-153.125409,5000,12850.127777
-151.797659,5000,13025.160081
-144.128404,5000,13465.705864
-117.066657,5000,13646.340311
-115.084693,5000,14072.478236
-113.462103,5000,14253.202529
-110.871363,5000,14677.91428
-96.642412,5000,14859.353084
-89.717082,5000,15284.599248
-90.749747,5000,15465.943803
-93.180393,5000,15896.403482
-82.586283,5000,16077.932552
-81.614145,5000,16503.442421
-83.319747,5000,16685.340586
-87.438934,5000,60045.954036
-97.819778,5000,60229.627647
-101.107678,5000,60664.310325
-107.780976,5000,60845.53447
-101.055944,5000,61309.035536
-96.290591,5000,61499.054022
-90.274968,5000,62784.981266
-81.514623,5000,62972.944131
-76.018153,5000,63450.560404
-72.210557,5000,63639.760639
-74.013685,5000,64125.405645
-72.806375,5000,64320.505972
-71.507333,5000,64784.309871
-71.761926,5000,64981.63952
-68.653138,5000,65458.425536
-74.23924,5000,65641.640017
-69.276599,5000,66079.174496
-70.210101,5000,66261.845477
-71.808321,5000,66683.504887
-73.122816,5000,66866.25146
-71.080155,5000,67289.837545
-75.342941,5000,67472.34314
-79.015198,5000,67900.05497
-73.389726,5000,68082.434091
-71.108411,5000,68511.305463
-71.428249,5000,68693.898524
-71.753287,5000,69113.49513
-74.426051,5000,69296.199132
-74.635513,5000,69715.777673
-77.59826,5000,69898.173417
-75.441614,5000,70331.622545
-71.268967,5000,70524.895725
-70.755064,5000,70988.215255
-70.372893,5000,71178.860758
-72.739249,5000,71644.347265
-68.243904,5000,71841.720024
-70.224783,5000,72338.256083
-70.770585,5000,72526.284332
-70.457532,5000,72995.477484
-69.310172,5000,73186.258843
-72.765458,5000,73677.28191
-66.507655,5000,73878.072677
-68.714106,5000,74411.358924
-68.736882,5000,74620.793439
-70.592064,5000,75229.095223
-68.344342,5000,75532.297851
-66.244404,5000,76015.647129
-67.794283,5000,76218.802174
-67.571557,5000,76708.801293
-67.653904,5000,76904.065631
-68.730584,5000,77367.910502
-65.278432,5000,77560.722946
-65.784492,5000,78041.353245
-66.943303,5000,78243.985894
-66.868714,5000,78751.665338
-72.234294,5000,78955.747721
-83.288673,5000,79462.22539
-81.191219,5000,79658.529885
-66.198747,5000,80804.492258
-67.417652,5000,80992.631553
-68.501301,5000,81432.289563
-67.087871,5000,81616.148045
